Week Ending Date,County,Count
2020-11-21,GREENE,0
2020-11-21,SCHENECTADY,0
2020-11-21,WAYNE,0
2020-11-21,LIVINGSTON,0
2020-11-21,RICHMOND,4
2020-11-21,CLINTON,2
2020-11-21,GENESEE,0
2020-11-21,SARATOGA,1
2020-11-21,FRANKLIN,0
2020-11-21,NASSAU,6
2020-11-21,MONTGOMERY,0
2020-11-21,FULTON,0
2020-11-21,RENSSELAER,1
2020-11-21,MONROE,0
2020-11-21,CORTLAND,1
2020-11-21,YATES,0
2020-11-21,ALBANY,0
2020-11-21,COLUMBIA,0
2020-11-21,DUTCHESS,5
2020-11-21,TOMPKINS,0
2020-11-21,ROCKLAND,1
2020-11-21,OTSEGO,0
2020-11-21,TIOGA,0
2020-11-21,ORLEANS,0
2020-11-21,NEW YORK,4
2020-11-21,DELAWARE,1
2020-11-21,OSWEGO,0
2020-11-21,WASHINGTON,1
2020-11-21,BRONX,4
2020-11-21,SULLIVAN,1
2020-11-21,STEUBEN,0
2020-11-21,WESTCHESTER,9
2020-11-21,SCHUYLER,0
2020-11-21,HERKIMER,2
2020-11-21,CHAUTAUQUA,0
2020-11-21,CHEMUNG,0
2020-11-21,MADISON,0
2020-11-21,WYOMING,2
2020-11-21,CAYUGA,0
2020-11-21,ALLEGANY,0
2020-11-21,KINGS,1
2020-11-21,ERIE,109
2020-11-21,ONTARIO,0
2020-11-21,SUFFOLK,9
2020-11-21,WARREN,5
2020-11-21,SENECA,0
2020-11-21,BROOME,3
2020-11-21,LEWIS,0
2020-11-21,ESSEX,0
2020-11-21,ST LAWRENCE,0
2020-11-21,CATTARAUGUS,4
2020-11-21,QUEENS,18
2020-11-21,ONEIDA,4
2020-11-21,JEFFERSON,1
2020-11-21,ONONDAGA,7
2020-11-28,TOMPKINS,0
2020-11-28,WYOMING,0
2020-11-28,LIVINGSTON,0
2020-11-28,MADISON,1
2020-11-28,SARATOGA,1
2020-11-28,JEFFERSON,10
2020-11-28,ORLEANS,0
2020-11-28,NEW YORK,0
2020-11-28,NASSAU,10
2020-11-28,RENSSELAER,0
2020-11-28,MONROE,0
2020-11-28,GREENE,0
2020-11-28,SCHUYLER,0
2020-11-28,WAYNE,0
2020-11-28,ESSEX,5
2020-11-28,ONONDAGA,5
2020-11-28,WARREN,0
2020-11-28,ALLEGANY,1
2020-11-28,WESTCHESTER,2
2020-11-28,COLUMBIA,0
2020-11-28,GENESEE,0
2020-11-28,CATTARAUGUS,1
2020-11-28,DELAWARE,0
2020-11-28,TIOGA,0
2020-11-28,OTSEGO,0
2020-11-28,ST LAWRENCE,1
2020-11-28,ONEIDA,0
2020-11-28,ALBANY,0
2020-11-28,YATES,0
2020-11-28,RICHMOND,10
2020-11-28,FRANKLIN,0
2020-11-28,CORTLAND,1
2020-11-28,SENECA,0
2020-11-28,STEUBEN,0
2020-11-28,CLINTON,0
2020-11-28,FULTON,0
2020-11-28,ERIE,11
2020-11-28,ULSTER,2
2020-11-28,OSWEGO,0
2020-11-28,KINGS,17
2020-11-28,SULLIVAN,0
2020-11-28,WASHINGTON,1
2020-11-28,CAYUGA,1
2020-11-28,MONTGOMERY,0
2020-11-28,ROCKLAND,0
2020-11-28,QUEENS,16
2020-11-28,DUTCHESS,12
2020-11-28,CHAUTAUQUA,1
2020-11-28,BROOME,0
2020-11-28,SUFFOLK,11
2020-11-28,CHEMUNG,0
2020-11-28,LEWIS,0
2020-11-28,HAMILTON,0
2020-11-28,NIAGARA,0
2020-11-28,SCHOHARIE,0
2020-11-28,HERKIMER,0
2020-11-28,CHENANGO,1
2020-11-28,ORANGE,1
2020-11-28,SCHENECTADY,0
2020-11-28,ONTARIO,0
2020-11-28,PUTNAM,4
2020-11-28,BRONX,2
2020-12-05,WASHINGTON,0
2020-12-05,GENESEE,0
2020-12-05,NIAGARA,2
2020-12-05,SCHUYLER,0
2020-12-05,CORTLAND,0
2020-12-05,STEUBEN,2
2020-12-05,CHEMUNG,0
2020-12-05,RICHMOND,11
2020-12-05,WARREN,3
2020-12-05,WAYNE,1
2020-12-05,ERIE,17
2020-12-05,SENECA,0
2020-12-05,WYOMING,0
2020-12-05,FULTON,0
2020-12-05,ROCKLAND,2
2020-12-05,ONTARIO,0
2020-12-05,SUFFOLK,5
2020-12-05,ULSTER,2
2020-12-05,HAMILTON,0
2020-12-05,RENSSELAER,0
2020-12-05,MADISON,0
2020-12-05,CAYUGA,1
2020-12-05,KINGS,11
2020-12-05,NASSAU,7
2020-12-05,OSWEGO,1
2020-12-05,ORANGE,9
2020-12-05,ALLEGANY,2
2020-12-05,QUEENS,12
2020-12-05,MONROE,1
