,date,county,census_fips_code,retail_and_recreation_percent_change,grocery_and_pharmacy_percent_change,parks_percent_change,transit_stations_percent_change,workplaces_percent_change,residential_percent_change
7200,2022-05-21,Delaware County,36025.0,14.571428571428571,-1.7142857142857142,0.0,0.0,-15.714285714285714,2.7142857142857144
7261,2022-05-28,Delaware County,36025.0,20.0,5.714285714285714,0.0,0.0,-19.0,2.4285714285714284
7322,2022-06-04,Delaware County,36025.0,18.0,7.714285714285714,0.0,0.0,-23.285714285714285,3.2857142857142856
7383,2022-06-11,Delaware County,36025.0,17.285714285714285,1.5714285714285714,0.0,0.0,-14.857142857142858,2.0
7444,2022-06-18,Delaware County,36025.0,22.428571428571427,6.714285714285714,0.0,0.0,-15.428571428571429,2.142857142857143
7505,2022-06-25,Delaware County,36025.0,22.428571428571427,7.285714285714286,0.0,0.0,-20.0,4.0
7566,2022-07-02,Delaware County,36025.0,31.428571428571427,17.142857142857142,0.0,0.0,-24.714285714285715,3.4285714285714284
7627,2022-07-09,Delaware County,36025.0,26.285714285714285,19.428571428571427,0.0,0.0,-30.142857142857142,4.428571428571429
7688,2022-07-16,Delaware County,36025.0,24.142857142857142,10.428571428571429,0.0,0.0,-21.142857142857142,3.5714285714285716
7749,2022-07-23,Delaware County,36025.0,25.571428571428573,10.0,0.0,0.0,-21.571428571428573,5.857142857142857
7810,2022-07-30,Delaware County,36025.0,29.142857142857142,12.714285714285714,0.0,0.0,-21.571428571428573,4.0
7871,2022-08-06,Delaware County,36025.0,30.142857142857142,10.571428571428571,0.0,0.0,-20.714285714285715,4.142857142857143
7932,2022-08-13,Delaware County,36025.0,33.857142857142854,13.428571428571429,0.0,0.0,-19.428571428571427,4.285714285714286
7993,2022-08-20,Delaware County,36025.0,69.71428571428571,17.571428571428573,0.0,0.0,-21.142857142857142,4.857142857142857
8054,2022-08-27,Delaware County,36025.0,38.285714285714285,11.571428571428571,0.0,0.0,-18.428571428571427,6.571428571428571
8115,2022-09-03,Delaware County,36025.0,30.428571428571427,8.571428571428571,0.0,0.0,-16.857142857142858,4.571428571428571
8176,2022-09-10,Delaware County,36025.0,21.285714285714285,4.571428571428571,0.0,0.0,-22.0,5.0
8237,2022-09-17,Delaware County,36025.0,23.142857142857142,0.7142857142857143,0.0,0.0,-12.142857142857142,2.4285714285714284
8298,2022-09-24,Delaware County,36025.0,20.571428571428573,1.4285714285714286,0.0,0.0,-12.714285714285714,3.142857142857143
8359,2022-10-01,Delaware County,36025.0,24.142857142857142,2.2857142857142856,0.0,0.0,-10.142857142857142,2.857142857142857
8420,2022-10-08,Delaware County,36025.0,27.857142857142858,2.857142857142857,0.0,0.0,-11.0,3.0
8481,2022-10-15,Delaware County,36025.0,29.285714285714285,0.2857142857142857,0.0,0.0,-13.714285714285714,2.857142857142857
13,2020-02-15,Dutchess County,36027.0,7.0,0.0,41.0,8.0,0.0,0.0
74,2020-02-22,Dutchess County,36027.0,8.0,-2.142857142857143,35.142857142857146,1.5714285714285714,-2.4285714285714284,1.1428571428571428
135,2020-02-29,Dutchess County,36027.0,5.571428571428571,0.0,33.57142857142857,0.42857142857142855,4.0,-0.42857142857142855
196,2020-03-07,Dutchess County,36027.0,7.714285714285714,6.714285714285714,36.285714285714285,-1.2857142857142858,4.428571428571429,-0.2857142857142857
257,2020-03-14,Dutchess County,36027.0,4.285714285714286,17.714285714285715,66.57142857142857,-7.571428571428571,-1.0,1.7142857142857142
318,2020-03-21,Dutchess County,36027.0,-23.428571428571427,11.428571428571429,53.857142857142854,-39.42857142857143,-27.0,12.428571428571429
379,2020-03-28,Dutchess County,36027.0,-46.857142857142854,-16.714285714285715,31.0,-59.285714285714285,-45.57142857142857,19.714285714285715
440,2020-04-04,Dutchess County,36027.0,-46.0,-16.142857142857142,30.857142857142858,-64.57142857142857,-49.57142857142857,20.714285714285715
501,2020-04-11,Dutchess County,36027.0,-54.857142857142854,20.0,48.0,-60.42857142857143,-51.142857142857146,21.428571428571427
562,2020-04-18,Dutchess County,36027.0,-61.285714285714285,-20.0,24.0,-62.57142857142857,-50.42857142857143,21.285714285714285
623,2020-04-25,Dutchess County,36027.0,-56.857142857142854,-14.0,55.42857142857143,-57.142857142857146,-47.285714285714285,20.0
684,2020-05-02,Dutchess County,36027.0,-55.142857142857146,-11.857142857142858,5.714285714285714,-56.57142857142857,-45.57142857142857,18.428571428571427
745,2020-05-09,Dutchess County,36027.0,-48.57142857142857,-2.4285714285714284,66.57142857142857,-51.857142857142854,-42.857142857142854,17.571428571428573
806,2020-05-16,Dutchess County,36027.0,-47.0,-5.428571428571429,69.71428571428571,-46.857142857142854,-40.857142857142854,16.571428571428573
