SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,36,21,New York,Columbia County,2,61550,30984,30566,2463,1256,1207,5047,2623,2424,2824,1580,1244,3969,2116,1853,52657,26329,26328,51216,25525,25691,19525,10046,9479,13391,6717,6674,18540,9421,9119,15316,7271,8045,2463,1256,1207,2714,1389,1325,2992,1601,1391,3239,1797,1442,2895,1532,1363,3367,1722,1645,3325,1694,1631,3398,1658,1740,3301,1643,1658,3648,1844,1804,4425,2258,2167,5257,2689,2568,5210,2630,2580,4893,2410,2483,4157,2033,2124,2829,1391,1438,1677,748,929,1760,689,1071,49.3,48.4,50.2
50,36,21,New York,Columbia County,3,61778,31049,30729,2402,1226,1176,4916,2520,2396,2780,1575,1205,3912,2058,1854,53119,26549,26570,51680,25728,25952,19830,10188,9642,13791,6913,6878,18266,9291,8975,15711,7466,8245,2402,1226,1176,2674,1365,1309,2895,1513,1382,3149,1757,1392,2890,1518,1372,3315,1706,1609,3484,1743,1741,3562,1753,1809,3430,1711,1719,3509,1779,1730,4312,2211,2101,5158,2643,2515,5287,2658,2629,5004,2462,2542,4325,2111,2214,2910,1421,1489,1746,816,930,1726,656,1070,49.4,48.6,50.3
50,36,23,New York,Cortland County,2,46723,23034,23689,2325,1223,1102,4467,2280,2187,2216,1146,1070,8309,3867,4442,38838,18952,19886,37715,18385,19330,20160,9898,10262,10186,5173,5013,11381,5743,5638,7839,3602,4237,2325,1223,1102,2368,1235,1133,2650,1333,1317,4424,2066,2358,5550,2659,2891,2667,1309,1358,2541,1324,1217,2528,1284,1244,2450,1256,1194,2437,1235,1202,2770,1422,1348,3216,1561,1655,2958,1525,1433,2554,1227,1327,2106,1028,1078,1388,636,752,903,396,507,888,315,573,36.7,36.5,36.8
50,36,23,New York,Cortland County,3,46311,22852,23459,2234,1180,1054,4373,2256,2117,2135,1112,1023,8266,3848,4418,38639,18875,19764,37569,18304,19265,20108,9868,10240,10244,5179,5065,11136,5633,5503,7923,3644,4279,2234,1180,1054,2389,1252,1137,2521,1275,1246,4349,2038,2311,5515,2651,2864,2674,1299,1375,2528,1319,1209,2536,1286,1250,2506,1275,1231,2270,1153,1117,2745,1415,1330,3093,1520,1573,3028,1545,1483,2559,1231,1328,2185,1057,1128,1383,641,742,931,402,529,865,313,552,36.8,36.6,37.1
50,36,25,New York,Delaware County,2,44186,22439,21747,1764,932,832,3625,1856,1769,1856,956,900,4043,2213,1830,37900,19201,18699,36941,18695,18246,14316,7466,6850,8873,4521,4352,12745,6468,6277,11280,5493,5787,1764,932,832,1866,947,919,2215,1133,1082,2977,1639,1338,2466,1306,1160,2178,1155,1023,2268,1173,1095,2231,1120,1111,2196,1073,1123,2443,1263,1180,2898,1448,1450,3514,1762,1752,3890,1995,1895,3506,1791,1715,3019,1538,1481,2173,1078,1095,1324,597,727,1258,489,769,49.1,48.2,50
50,36,25,New York,Delaware County,3,44378,22537,21841,1748,935,813,3493,1784,1709,1869,965,904,4003,2192,1811,38209,19344,18865,37268,18853,18415,14630,7654,6976,9216,4735,4481,12526,6328,6198,11523,5598,5925,1748,935,813,1811,910,901,2140,1112,1028,2967,1625,1342,2447,1294,1153,2107,1106,1001,2374,1249,1125,2372,1206,1166,2363,1174,1189,2335,1191,1144,2884,1454,1430,3428,1710,1718,3879,1973,1906,3595,1841,1754,3158,1608,1550,2176,1056,1120,1351,596,755,1243,497,746,49.1,47.9,50.2
50,36,27,New York,Dutchess County,2,295742,147851,147891,13379,6832,6547,27390,14137,13253,14429,7490,6939,30929,15249,15680,248093,123345,124748,240544,119392,121152,112174,57599,54575,70207,36593,33614,85656,43168,42488,53752,24382,29370,13379,6832,6547,14508,7529,6979,16273,8341,7932,21073,10591,10482,20894,10415,10479,17585,9345,8240,17585,9179,8406,17583,9057,8526,17454,9012,8442,18394,9383,9011,21417,10746,10671,23905,11894,12011,21940,11145,10795,17626,8613,9013,13767,6463,7304,9550,4304,5246,6277,2677,3600,6532,2325,4207,42.5,41.4,43.7
50,36,27,New York,Dutchess County,3,297112,148748,148364,13384,6819,6565,27040,13920,13120,14172,7384,6788,30736,15217,15519,249823,124475,125348,242516,120625,121891,113741,58525,55216,72230,37674,34556,84545,42701,41844,55005,25033,29972,13384,6819,6565,14491,7497,6994,15946,8173,7773,20719,10483,10236,20792,10368,10424,17855,9471,8384,18265,9567,8698,18079,9318,8761,18031,9318,8713,17850,9179,8671,20956,10566,10390,23376,11646,11730,22363,11310,11053,18045,8831,9214,14417,6769,7648,9684,4355,5329,6380,2748,3632,6479,2330,4149,42.4,41.4,43.6
50,36,29,New York,Erie County,2,953254,464841,488413,51032,26169,24863,97622,49932,47690,45385,23010,22375,85046,42722,42324,782421,377453,404968,759215,365730,393485,366338,183636,182702,246953,123530,123423,252546,123083,129463,174670,76395,98275,51032,26169,24863,53570,27372,26198,55098,28186,26912,59205,30047,29158,60180,30059,30121,65591,32912,32679,68288,34303,33985,60549,30220,30329,52525,26095,26430,52968,26193,26775,61799,30304,31495,68329,33239,35090,69450,33347,36103,57898,27503,30395,44863,20697,24166,30344,13235,17109,19668,7762,11906,21897,7198,14699,40.3,38.8,41.8
50,36,29,New York,Erie County,3,950683,463661,487022,49840,25549,24291,97177,49669,47508,44819,22807,22012,84501,42342,42159,781451,377092,404359,758847,365636,393211,367713,184221,183492,249568,124790,124778,246602,120195,126407,178176,78309,99867,49840,25549,24291,53818,27499,26319,54534,27888,26646,58054,29426,28628,60091,30005,30086,64194,32192,32002,68690,34506,34184,62288,31060,31228,54396,27032,27364,50344,24981,25363,60653,29661,30992,66196,32289,33907,69409,33264,36145,59196,28147,31049,47174,21784,25390,30608,13367,17241,19917,7947,11970,21281,7064,14217,40.3,38.9,41.7
50,36,31,New York,Essex County,2,37336,19390,17946,1486,753,733,2878,1440,1438,1596,873,723,2449,1364,1085,32192,16778,15414,31376,16324,15052,12332,6911,5421,8661,4869,3792,11149,5705,5444,9117,4386,4731,1486,753,733,1498,748,750,1754,887,867,1877,1036,841,1794,1006,788,2157,1261,896,2231,1256,975,2204,1258,946,2069,1094,975,2234,1190,1044,2554,1301,1253,3099,1523,1576,3262,1691,1571,3041,1538,1503,2379,1182,1197,1627,806,821,1048,462,586,1022,398,624,48.7,46.9,50.7
50,36,31,New York,Essex County,3,37268,19400,17868,1498,756,742,2829,1422,1407,1560,841,719,2388,1337,1051,32201,16831,15370,31381,16381,15000,12391,6924,5467,8794,4937,3857,10936,5613,5323,9263,4494,4769,1498,756,742,1515,778,737,1665,835,830,1834,992,842,1763,995,768,2179,1275,904,2255,1273,982,2243,1271,972,2117,1118,999,2163,1153,1010,2504,1299,1205,2980,1453,1527,3289,1708,1581,3033,1518,1515,2530,1274,1256,1614,802,812,1087,495,592,999,405,594,48.7,46.9,50.7
50,36,33,New York,Franklin County,2,47527,26188,21339,2254,1151,1103,4789,2482,2307,2215,1153,1062,4434,2798,1636,39349,21972,17377,38269,21402,16867,18763,11390,7373,12694,7735,4959,12873,6919,5954,8268,3950,4318,2254,1151,1103,2548,1324,1224,2821,1454,1367,2887,1613,1274,3182,2042,1140,3350,2123,1227,3284,2017,1267,3170,1839,1331,2890,1756,1134,2894,1661,1233,3120,1730,1390,3489,1810,1679,3370,1718,1652,2789,1403,1386,2210,1116,1094,1480,717,763,918,388,530,871,326,545,40.4,38.8,43.2
50,36,33,New York,Franklin County,3,47456,26197,21259,2216,1123,1093,4634,2397,2237,2264,1164,1100,4460,2809,1651,39442,22085,17357,38342,21513,16829,18946,11510,7436,12810,7840,4970,12649,6821,5828,8423,4043,4380,2216,1123,1093,2443,1236,1207,2779,1464,1315,2917,1618,1299,3219,2052,1167,3354,2136,1218,3320,2063,1257,3186,1852,1334,2950,1789,1161,2806,1624,1182,3045,1685,1360,3383,1752,1631,3415,1760,1655,2854,1420,1434,2304,1177,1127,1484,725,759,939,401,538,842,320,522,40.5,38.8,43
50,36,35,New York,Fulton County,2,53160,26536,26624,2626,1363,1263,5555,2832,2723,2588,1308,1280,3827,1992,1835,43688,21689,21999,42391,21033,21358,18380,9429,8951,12620,6462,6158,15240,7713,7527,10704,4866,5838,2626,1363,1263,2934,1520,1414,3276,1645,1631,2986,1529,1457,2774,1438,1336,3093,1621,1472,3140,1614,1526,3279,1651,1628,3108,1576,1532,3267,1669,1598,3759,1921,1838,4194,2125,2069,4020,1998,2022,3511,1725,1786,2891,1403,1488,1898,843,1055,1190,507,683,1214,388,826,43.9,42.7,45.2
50,36,35,New York,Fulton County,3,53116,26566,26550,2540,1317,1223,5495,2816,2679,2621,1319,1302,3822,1989,1833,43750,21771,21979,42460,21114,21346,18528,9529,8999,12760,6554,6206,15019,7610,7409,10859,4961,5898,2540,1317,1223,2918,1509,1409,3252,1640,1612,2964,1520,1444,2804,1455,1349,3030,1604,1426,3208,1661,1547,3295,1648,1647,3227,1641,1586,3095,1574,1521,3720,1915,1805,4104,2083,2021,4100,2038,2062,3546,1740,1806,2998,1453,1545,1947,887,1060,1171,484,687,1197,397,800,43.9,42.8,45.1
50,36,37,New York,Genesee County,2,58258,29227,29031,2997,1513,1484,6095,3012,3083,2887,1506,1381,4554,2348,2206,47702,23947,23755,46279,23196,23083,20615,10790,9825,13904,7316,6588,16630,8394,8236,11191,5138,6053,2997,1513,1484,3263,1582,1681,3562,1810,1752,3523,1817,1706,3188,1657,1531,3701,2000,1701,3510,1852,1658,3542,1832,1710,3151,1632,1519,3372,1720,1652,4089,2062,2027,4599,2318,2281,4570,2294,2276,3615,1799,1816,2798,1350,1448,1985,934,1051,1343,570,773,1450,485,965,42.8,41.6,44.2
50,36,37,New York,Genesee County,3,57853,29074,28779,2909,1479,1430,5942,2929,3013,2910,1497,1413,4476,2363,2113,47532,23918,23614,46092,23169,22923,20662,10856,9806,14003,7361,6642,16267,8204,8063,11346,5241,6105,2909,1479,1430,3190,1564,1626,3479,1730,1749,3547,1840,1707,3112,1655,1457,3557,1921,1636,3591,1882,1709,3570,1873,1697,3285,1685,1600,3162,1608,1554,4046,2037,2009,4439,2242,2197,4620,2317,2303,3730,1863,1867,2873,1368,1505,1979,945,1034,1355,579,776,1409,486,923,42.9,41.7,44.3
