county,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,conditions
COLUMBIA,2021-03-20,39.42857142857143,20.957142857142856,30.5,34.642857142857146,12.799999999999999,24.25714285714286,13.342857142857143,51.57142857142857,0.08914285714285715,28.571428571428573,8.928571428571429,"['rain' 'rain,snow']",0.0,0.0,32.480000000000004,15.171428571428573,237.27142857142857,1022.157142857143,40.4,9.285714285714286,121.27142857142859,10.457142857142857,5.142857142857143,,0.08571428571428573,Clear
COLUMBIA,2021-03-27,63.528571428571425,34.81428571428571,49.042857142857144,63.528571428571425,32.699999999999996,48.285714285714285,33.9,62.028571428571425,0.05171428571428571,42.857142857142854,12.498571428571427,rain,0.0,0.0,36.666666666666664,13.142857142857142,206.91428571428574,1020.5428571428572,38.728571428571435,9.285714285714286,144.64285714285714,12.471428571428572,6.571428571428571,,0.37714285714285717,"['Clear' 'Rain, Partially cloudy']"
COLUMBIA,2021-04-03,47.58571428571429,30.114285714285717,39.01428571428572,44.31428571428571,23.428571428571427,33.81428571428571,27.057142857142853,65.25714285714285,0.197,57.142857142857146,22.02285714285714,rain,0.18571428571428572,0.08571428571428573,33.285714285714285,15.1,235.8857142857143,1016.4857142857143,50.91428571428571,8.814285714285715,112.11428571428571,9.671428571428573,4.571428571428571,,0.5771428571428572,"Rain, Partially cloudy"
COLUMBIA,2021-04-10,65.0,36.67142857142857,51.457142857142856,65.0,34.82857142857143,50.6,33.642857142857146,53.82857142857143,0.0,0.0,0.0,[],0.0,0.0,24.7,11.585714285714285,258.31428571428575,1015.1285714285714,22.08571428571429,9.742857142857144,200.5,17.242857142857144,8.285714285714286,,0.8914285714285715,Partially cloudy
COLUMBIA,2021-04-17,55.2,39.55714285714286,47.42857142857143,53.800000000000004,37.24285714285714,45.800000000000004,39.128571428571426,74.95714285714287,0.2547142857142857,71.42857142857143,30.357142857142858,rain,0.0,0.0,21.64,9.385714285714286,217.12857142857143,1008.3142857142857,74.91428571428571,8.671428571428573,89.94285714285715,7.757142857142857,3.857142857142857,,0.1842857142857143,"Rain, Partially cloudy"
COLUMBIA,2021-04-24,56.42857142857143,34.142857142857146,44.628571428571426,54.91428571428571,28.87142857142857,41.542857142857144,31.485714285714288,63.57142857142857,0.044,42.857142857142854,9.524285714285714,"rain,snow",0.18571428571428572,0.08571428571428573,29.557142857142857,16.057142857142857,281.9428571428571,1009.1285714285714,51.34285714285714,8.971428571428572,173.62857142857143,14.942857142857141,8.285714285714286,,0.3085714285714286,Partially cloudy
COLUMBIA,2021-05-01,58.41428571428571,41.17142857142857,49.457142857142856,58.41428571428571,35.15714285714286,47.07142857142857,37.114285714285714,65.58571428571429,0.29971428571428577,85.71428571428571,23.214285714285715,rain,0.0,0.0,32.233333333333334,14.414285714285715,207.14285714285714,1007.5714285714286,61.01428571428572,8.62857142857143,135.52857142857144,11.685714285714285,5.142857142857143,,0.5357142857142857,"Rain, Partially cloudy"
COLUMBIA,2021-05-08,59.25714285714286,43.42857142857143,51.271428571428565,59.25714285714286,40.714285714285715,50.385714285714286,41.614285714285714,72.67142857142856,0.24985714285714283,71.42857142857143,27.97714285714286,rain,0.0,0.0,21.833333333333332,11.085714285714285,200.20000000000002,1008.9428571428572,69.38571428571429,8.957142857142857,120.44285714285715,10.328571428571427,5.571428571428571,,0.8314285714285715,"Rain, Partially cloudy"
COLUMBIA,2021-05-15,62.199999999999996,39.25714285714286,51.385714285714286,62.199999999999996,36.357142857142854,50.08571428571429,35.07142857142857,58.42857142857143,0.06242857142857144,42.857142857142854,8.332857142857142,rain,0.0,0.0,24.55,12.571428571428571,287.42857142857144,1017.4857142857143,47.028571428571425,9.771428571428572,186.70000000000002,16.1,9.0,,0.44,"['Partially cloudy' 'Rain, Partially cloudy']"
COLUMBIA,2021-05-22,78.92857142857143,50.957142857142856,65.52857142857144,78.31428571428572,50.957142857142856,65.44285714285715,47.1,55.65714285714286,0.0035714285714285718,14.285714285714286,1.19,rain,0.0,0.0,22.62857142857143,12.057142857142859,273.2285714285714,1024.1571428571428,25.67142857142857,9.714285714285714,231.62857142857143,19.957142857142856,8.857142857142858,,0.23571428571428574,Partially cloudy
COLUMBIA,2021-05-29,68.2,48.771428571428565,58.971428571428575,67.72857142857143,47.15714285714286,58.042857142857144,48.528571428571425,70.04285714285714,0.20457142857142857,71.42857142857143,19.047142857142855,rain,0.0,0.0,25.957142857142856,12.671428571428573,178.15714285714284,1016.6714285714286,49.58571428571429,9.528571428571428,168.27142857142857,14.542857142857143,7.0,,0.5,"Rain, Partially cloudy"
COLUMBIA,2021-06-05,69.64285714285714,50.42857142857143,59.699999999999996,69.37142857142858,49.57142857142857,59.142857142857146,51.857142857142854,78.24285714285715,0.1582857142857143,71.42857142857143,22.024285714285718,rain,0.0,0.0,21.8,10.571428571428571,205.72857142857143,1017.6999999999999,57.18571428571429,8.128571428571428,147.94285714285712,12.828571428571431,5.571428571428571,,0.7585714285714287,"Rain, Partially cloudy"
COLUMBIA,2021-06-12,80.51428571428572,60.82857142857143,70.5,81.74285714285715,60.82857142857143,70.75714285714285,58.65714285714286,69.11428571428571,0.053142857142857144,42.857142857142854,8.928571428571429,rain,0.0,0.0,22.099999999999998,10.085714285714285,270.5,1014.1142857142858,40.714285714285715,9.37142857142857,208.84285714285716,18.04285714285714,8.857142857142858,,0.5614285714285714,"Rain, Partially cloudy"
COLUMBIA,2021-06-19,73.14285714285714,53.685714285714276,64.01428571428572,73.02857142857142,53.685714285714276,64.0,51.9,68.12857142857142,0.08742857142857142,42.857142857142854,10.118571428571428,rain,0.0,0.0,22.885714285714283,11.62857142857143,231.77142857142857,1009.4714285714286,46.028571428571425,9.314285714285715,190.20000000000002,16.442857142857143,7.857142857142857,,0.17142857142857143,"['Partially cloudy' 'Rain, Partially cloudy']"
COLUMBIA,2021-06-26,76.25714285714287,54.68571428571429,66.05714285714285,76.78571428571429,54.442857142857136,66.18571428571428,56.028571428571425,72.71428571428571,0.08828571428571429,28.571428571428573,10.714285714285714,rain,0.0,0.0,25.683333333333334,11.914285714285715,214.64285714285714,1015.1,39.18571428571429,9.514285714285714,193.84285714285716,16.7,7.571428571428571,,0.47000000000000003,Partially cloudy
COLUMBIA,2021-07-03,79.10000000000001,65.58571428571427,72.0,81.84285714285714,65.58571428571427,73.0,65.22857142857143,80.81428571428572,0.3727142857142857,85.71428571428571,38.09571428571429,rain,0.0,0.0,27.125,9.985714285714286,175.64285714285714,1013.6285714285714,54.971428571428575,9.0,151.32857142857142,12.971428571428572,6.0,,0.6885714285714286,"Rain, Partially cloudy"
COLUMBIA,2021-07-10,77.01428571428572,61.17142857142858,68.04285714285714,78.08571428571429,61.17142857142858,68.22857142857143,62.34285714285714,83.35714285714286,0.3505714285714286,85.71428571428571,31.545714285714286,rain,0.0,0.0,35.666666666666664,9.228571428571428,248.55714285714288,1012.7285714285715,56.885714285714286,8.414285714285715,150.8857142857143,12.985714285714286,6.285714285714286,,0.8142857142857143,"Rain, Partially cloudy"
COLUMBIA,2021-07-17,77.38571428571429,63.42857142857143,69.61428571428571,79.08571428571429,63.42857142857143,69.97142857142856,64.44285714285714,84.94285714285715,0.5452857142857143,85.71428571428571,33.33428571428571,rain,0.0,0.0,20.4,8.214285714285714,180.74285714285716,1018.2714285714285,61.5,8.528571428571428,133.62857142857143,11.428571428571429,5.857142857142857,,0.11285714285714286,"Rain, Partially cloudy"
COLUMBIA,2021-07-24,76.67142857142858,59.857142857142854,67.82857142857144,76.98571428571428,59.857142857142854,67.9,59.81428571428571,77.61428571428571,0.188,57.142857142857146,19.047142857142855,rain,0.0,0.0,23.7,9.614285714285714,235.04285714285714,1014.9428571428572,44.8,8.142857142857142,171.82857142857142,14.828571428571427,7.428571428571429,,0.43142857142857144,"Rain, Partially cloudy"
