,Week Ending Date,County,Season,FIPS,Count
191,2020-03-07,HERKIMER,2019-2020,36043,70
192,2020-03-07,ERIE,2019-2020,36029,240
193,2020-03-07,ALLEGANY,2019-2020,36003,49
194,2020-03-07,NASSAU,2019-2020,36059,292
195,2020-03-07,CORTLAND,2019-2020,36023,74
196,2020-03-07,RICHMOND,2019-2020,36085,105
197,2020-03-07,CHENANGO,2019-2020,36017,44
198,2020-03-07,SCHUYLER,2019-2020,36097,22
199,2020-03-07,COLUMBIA,2019-2020,36021,12
200,2020-03-07,OSWEGO,2019-2020,36075,77
201,2020-03-07,GREENE,2019-2020,36039,3
202,2020-03-07,SENECA,2019-2020,36099,26
203,2020-03-07,SARATOGA,2019-2020,36091,135
204,2020-03-07,MONTGOMERY,2019-2020,36057,43
205,2020-03-07,QUEENS,2019-2020,36081,623
206,2020-03-07,WESTCHESTER,2019-2020,36119,300
207,2020-03-07,ONEIDA,2019-2020,36065,237
208,2020-03-07,ORANGE,2019-2020,36071,125
209,2020-03-07,YATES,2019-2020,36123,30
210,2020-03-07,CATTARAUGUS,2019-2020,36009,31
211,2020-03-07,NEW YORK,2019-2020,36061,357
212,2020-03-07,BROOME,2019-2020,36007,224
213,2020-03-07,RENSSELAER,2019-2020,36083,23
214,2020-03-07,JEFFERSON,2019-2020,36045,123
215,2020-03-07,LIVINGSTON,2019-2020,36051,35
216,2020-03-07,ROCKLAND,2019-2020,36087,105
217,2020-03-07,FULTON,2019-2020,36035,51
218,2020-03-07,ORLEANS,2019-2020,36073,24
219,2020-03-07,DUTCHESS,2019-2020,36027,52
220,2020-03-07,TOMPKINS,2019-2020,36109,63
221,2020-03-07,SULLIVAN,2019-2020,36105,25
222,2020-03-07,CHAUTAUQUA,2019-2020,36013,37
223,2020-03-07,BRONX,2019-2020,36005,657
224,2020-03-07,CLINTON,2019-2020,36019,62
225,2020-03-07,CHEMUNG,2019-2020,36015,110
226,2020-03-07,GENESEE,2019-2020,36037,32
227,2020-03-07,DELAWARE,2019-2020,36025,26
228,2020-03-07,NIAGARA,2019-2020,36063,39
229,2020-03-07,OTSEGO,2019-2020,36077,41
230,2020-03-07,CAYUGA,2019-2020,36011,62
231,2020-03-07,MADISON,2019-2020,36053,43
232,2020-03-07,WARREN,2019-2020,36113,11
233,2020-03-07,PUTNAM,2019-2020,36079,25
234,2020-03-07,SCHENECTADY,2019-2020,36093,59
235,2020-03-07,SCHOHARIE,2019-2020,36095,22
236,2020-03-07,ONONDAGA,2019-2020,36067,335
237,2020-03-07,ST LAWRENCE,2019-2020,36089,129
238,2020-03-07,TIOGA,2019-2020,36107,50
239,2020-03-07,HAMILTON,2019-2020,36041,1
240,2020-03-07,MONROE,2019-2020,36055,343
241,2020-03-07,WAYNE,2019-2020,36117,65
242,2020-03-07,WYOMING,2019-2020,36121,17
243,2020-03-07,STEUBEN,2019-2020,36101,76
244,2020-03-07,ONTARIO,2019-2020,36069,63
245,2020-03-07,ESSEX,2019-2020,36031,11
246,2020-03-07,ALBANY,2019-2020,36001,99
247,2020-03-07,LEWIS,2019-2020,36049,23
248,2020-03-14,CORTLAND,2019-2020,36023,70
249,2020-03-14,LEWIS,2019-2020,36049,17
250,2020-03-14,TIOGA,2019-2020,36107,43
251,2020-03-14,ONTARIO,2019-2020,36069,57
252,2020-03-14,ORANGE,2019-2020,36071,118
253,2020-03-14,RENSSELAER,2019-2020,36083,39
254,2020-03-14,FRANKLIN,2019-2020,36033,52
255,2020-03-14,WESTCHESTER,2019-2020,36119,308
256,2020-03-14,LIVINGSTON,2019-2020,36051,30
257,2020-03-14,CHEMUNG,2019-2020,36015,81
