Week Ending Date,County,Season,FIPS,Count
2020-03-14,YATES,2019-2020,36123,19
2020-03-14,GENESEE,2019-2020,36037,22
2020-03-14,BRONX,2019-2020,36005,484
2020-03-14,QUEENS,2019-2020,36081,459
2020-03-14,ALBANY,2019-2020,36001,122
2020-03-14,SCHENECTADY,2019-2020,36093,116
2020-03-14,CATTARAUGUS,2019-2020,36009,28
2020-03-14,DUTCHESS,2019-2020,36027,58
2020-03-14,MONTGOMERY,2019-2020,36057,53
2020-03-14,SCHUYLER,2019-2020,36097,16
2020-03-14,CHAUTAUQUA,2019-2020,36013,71
2020-03-14,CAYUGA,2019-2020,36011,51
2020-03-14,COLUMBIA,2019-2020,36021,4
2020-03-14,SENECA,2019-2020,36099,18
2020-03-14,WYOMING,2019-2020,36121,18
2020-03-14,GREENE,2019-2020,36039,5
2020-03-14,NIAGARA,2019-2020,36063,42
2020-03-14,BROOME,2019-2020,36007,163
2020-03-14,OSWEGO,2019-2020,36075,95
2020-03-14,TOMPKINS,2019-2020,36109,64
2020-03-14,ONEIDA,2019-2020,36065,164
2020-03-14,SARATOGA,2019-2020,36091,152
2020-03-14,ST LAWRENCE,2019-2020,36089,147
2020-03-14,CLINTON,2019-2020,36019,74
2020-03-14,PUTNAM,2019-2020,36079,17
2020-03-14,WARREN,2019-2020,36113,20
2020-03-14,MONROE,2019-2020,36055,267
2020-03-14,ROCKLAND,2019-2020,36087,68
2020-03-14,ALLEGANY,2019-2020,36003,38
2020-03-14,NASSAU,2019-2020,36059,261
2020-03-14,SULLIVAN,2019-2020,36105,28
2020-03-14,ONONDAGA,2019-2020,36067,229
2020-03-14,ORLEANS,2019-2020,36073,8
2020-03-14,OTSEGO,2019-2020,36077,36
2020-03-14,SUFFOLK,2019-2020,36103,262
2020-03-14,KINGS,2019-2020,36047,502
2020-03-14,NEW YORK,2019-2020,36061,335
2020-03-14,ERIE,2019-2020,36029,231
2020-03-21,WAYNE,2019-2020,36117,30
2020-03-21,MONROE,2019-2020,36055,159
2020-03-21,NASSAU,2019-2020,36059,143
2020-03-21,WYOMING,2019-2020,36121,9
2020-03-21,HERKIMER,2019-2020,36043,19
2020-03-21,FULTON,2019-2020,36035,38
2020-03-21,ALBANY,2019-2020,36001,96
2020-03-21,HAMILTON,2019-2020,36041,1
2020-03-21,ST LAWRENCE,2019-2020,36089,78
2020-03-21,WASHINGTON,2019-2020,36115,5
2020-03-21,ULSTER,2019-2020,36111,19
2020-03-21,ALLEGANY,2019-2020,36003,26
2020-03-21,ONEIDA,2019-2020,36065,89
2020-03-21,ORLEANS,2019-2020,36073,7
2020-03-21,CAYUGA,2019-2020,36011,50
2020-03-21,ESSEX,2019-2020,36031,11
2020-03-21,PUTNAM,2019-2020,36079,12
2020-03-21,TIOGA,2019-2020,36107,22
2020-03-21,ROCKLAND,2019-2020,36087,39
2020-03-21,CHEMUNG,2019-2020,36015,61
2020-03-21,OTSEGO,2019-2020,36077,21
2020-03-21,ONTARIO,2019-2020,36069,41
2020-03-21,LEWIS,2019-2020,36049,27
2020-03-21,DUTCHESS,2019-2020,36027,47
2020-03-21,WARREN,2019-2020,36113,8
2020-03-21,SCHOHARIE,2019-2020,36095,11
2020-03-21,CLINTON,2019-2020,36019,44
2020-03-21,SCHENECTADY,2019-2020,36093,109
2020-03-21,TOMPKINS,2019-2020,36109,44
2020-03-21,GENESEE,2019-2020,36037,9
2020-03-21,NIAGARA,2019-2020,36063,21
2020-03-21,DELAWARE,2019-2020,36025,11
2020-03-21,MADISON,2019-2020,36053,18
2020-03-21,YATES,2019-2020,36123,8
2020-03-21,STEUBEN,2019-2020,36101,52
2020-03-21,CHAUTAUQUA,2019-2020,36013,58
2020-03-21,BRONX,2019-2020,36005,190
2020-03-21,KINGS,2019-2020,36047,211
2020-03-21,ONONDAGA,2019-2020,36067,120
2020-03-21,SENECA,2019-2020,36099,10
2020-03-21,GREENE,2019-2020,36039,5
2020-03-21,LIVINGSTON,2019-2020,36051,20
2020-03-21,OSWEGO,2019-2020,36075,56
2020-03-21,BROOME,2019-2020,36007,90
2020-03-21,SCHUYLER,2019-2020,36097,12
2020-03-21,QUEENS,2019-2020,36081,205
2020-03-21,SUFFOLK,2019-2020,36103,146
2020-03-21,FRANKLIN,2019-2020,36033,27
2020-03-21,SARATOGA,2019-2020,36091,82
2020-03-21,CHENANGO,2019-2020,36017,31
2020-03-21,CATTARAUGUS,2019-2020,36009,16
2020-03-21,WESTCHESTER,2019-2020,36119,109
2020-03-21,SULLIVAN,2019-2020,36105,22
2020-03-21,MONTGOMERY,2019-2020,36057,51
2020-03-21,RENSSELAER,2019-2020,36083,28
2020-03-21,NEW YORK,2019-2020,36061,124
2020-03-21,ERIE,2019-2020,36029,146
2020-03-21,RICHMOND,2019-2020,36085,30
2020-03-21,JEFFERSON,2019-2020,36045,65
2020-03-21,CORTLAND,2019-2020,36023,47
2020-03-21,ORANGE,2019-2020,36071,78
2020-03-21,COLUMBIA,2019-2020,36021,2
2020-03-28,ORANGE,2019-2020,36071,6
2020-03-28,STEUBEN,2019-2020,36101,13
2020-03-28,CAYUGA,2019-2020,36011,7
2020-03-28,WESTCHESTER,2019-2020,36119,13
2020-03-28,MADISON,2019-2020,36053,4
2020-03-28,DELAWARE,2019-2020,36025,5
2020-03-28,GENESEE,2019-2020,36037,1
2020-03-28,RENSSELAER,2019-2020,36083,9
2020-03-28,ONEIDA,2019-2020,36065,10
2020-03-28,SCHENECTADY,2019-2020,36093,12
2020-03-28,NIAGARA,2019-2020,36063,21
2020-03-28,SCHUYLER,2019-2020,36097,5
2020-03-28,LIVINGSTON,2019-2020,36051,2
